time,FINAL TIME,INITIAL TIME,SAVEPER,TIME STEP,PI,Result,X
0,100,0,1,1,3.14159,0.9999999999991198,1.570795
1,100,0,1,1,3.14159,0.9999999999991198,1.570795
2,100,0,1,1,3.14159,0.9999999999991198,1.570795
3,100,0,1,1,3.14159,0.9999999999991198,1.570795
4,100,0,1,1,3.14159,0.9999999999991198,1.570795
5,100,0,1,1,3.14159,0.9999999999991198,1.570795
6,100,0,1,1,3.14159,0.9999999999991198,1.570795
7,100,0,1,1,3.14159,0.9999999999991198,1.570795
8,100,0,1,1,3.14159,0.9999999999991198,1.570795
9,100,0,1,1,3.14159,0.9999999999991198,1.570795
10,100,0,1,1,3.14159,0.9999999999991198,1.570795
11,100,0,1,1,3.14159,0.9999999999991198,1.570795
12,100,0,1,1,3.14159,0.9999999999991198,1.570795
13,100,0,1,1,3.14159,0.9999999999991198,1.570795
14,100,0,1,1,3.14159,0.9999999999991198,1.570795
15,100,0,1,1,3.14159,0.9999999999991198,1.570795
16,100,0,1,1,3.14159,0.9999999999991198,1.570795
17,100,0,1,1,3.14159,0.9999999999991198,1.570795
18,100,0,1,1,3.14159,0.9999999999991198,1.570795
19,100,0,1,1,3.14159,0.9999999999991198,1.570795
20,100,0,1,1,3.14159,0.9999999999991198,1.570795
21,100,0,1,1,3.14159,0.9999999999991198,1.570795
22,100,0,1,1,3.14159,0.9999999999991198,1.570795
23,100,0,1,1,3.14159,0.9999999999991198,1.570795
24,100,0,1,1,3.14159,0.9999999999991198,1.570795
25,100,0,1,1,3.14159,0.9999999999991198,1.570795
26,100,0,1,1,3.14159,0.9999999999991198,1.570795
27,100,0,1,1,3.14159,0.9999999999991198,1.570795
28,100,0,1,1,3.14159,0.9999999999991198,1.570795
29,100,0,1,1,3.14159,0.9999999999991198,1.570795
30,100,0,1,1,3.14159,0.9999999999991198,1.570795
31,100,0,1,1,3.14159,0.9999999999991198,1.570795
32,100,0,1,1,3.14159,0.9999999999991198,1.570795
33,100,0,1,1,3.14159,0.9999999999991198,1.570795
34,100,0,1,1,3.14159,0.9999999999991198,1.570795
35,100,0,1,1,3.14159,0.9999999999991198,1.570795
36,100,0,1,1,3.14159,0.9999999999991198,1.570795
37,100,0,1,1,3.14159,0.9999999999991198,1.570795
38,100,0,1,1,3.14159,0.9999999999991198,1.570795
39,100,0,1,1,3.14159,0.9999999999991198,1.570795
40,100,0,1,1,3.14159,0.9999999999991198,1.570795
41,100,0,1,1,3.14159,0.9999999999991198,1.570795
42,100,0,1,1,3.14159,0.9999999999991198,1.570795
43,100,0,1,1,3.14159,0.9999999999991198,1.570795
44,100,0,1,1,3.14159,0.9999999999991198,1.570795
45,100,0,1,1,3.14159,0.9999999999991198,1.570795
46,100,0,1,1,3.14159,0.9999999999991198,1.570795
