time,FINAL TIME,INITIAL TIME,SAVEPER,TIME STEP,N,Result,X
0,100,0,1,1,8,256.0,2
1,100,0,1,1,8,256.0,2
2,100,0,1,1,8,256.0,2
3,100,0,1,1,8,256.0,2
4,100,0,1,1,8,256.0,2
5,100,0,1,1,8,256.0,2
6,100,0,1,1,8,256.0,2
7,100,0,1,1,8,256.0,2
8,100,0,1,1,8,256.0,2
9,100,0,1,1,8,256.0,2
10,100,0,1,1,8,256.0,2
11,100,0,1,1,8,256.0,2
12,100,0,1,1,8,256.0,2
13,100,0,1,1,8,256.0,2
14,100,0,1,1,8,256.0,2
15,100,0,1,1,8,256.0,2
16,100,0,1,1,8,256.0,2
17,100,0,1,1,8,256.0,2
18,100,0,1,1,8,256.0,2
19,100,0,1,1,8,256.0,2
20,100,0,1,1,8,256.0,2
21,100,0,1,1,8,256.0,2
22,100,0,1,1,8,256.0,2
23,100,0,1,1,8,256.0,2
24,100,0,1,1,8,256.0,2
25,100,0,1,1,8,256.0,2
26,100,0,1,1,8,256.0,2
27,100,0,1,1,8,256.0,2
28,100,0,1,1,8,256.0,2
29,100,0,1,1,8,256.0,2
30,100,0,1,1,8,256.0,2
31,100,0,1,1,8,256.0,2
32,100,0,1,1,8,256.0,2
33,100,0,1,1,8,256.0,2
34,100,0,1,1,8,256.0,2
35,100,0,1,1,8,256.0,2
36,100,0,1,1,8,256.0,2
37,100,0,1,1,8,256.0,2
38,100,0,1,1,8,256.0,2
39,100,0,1,1,8,256.0,2
40,100,0,1,1,8,256.0,2
41,100,0,1,1,8,256.0,2
42,100,0,1,1,8,256.0,2
43,100,0,1,1,8,256.0,2
44,100,0,1,1,8,256.0,2
45,100,0,1,1,8,256.0,2
46,100,0,1,1,8,256.0,2
47,100,0,1,1,8,256.0,2
48,100,0,1,1,8,256.0,2
49,100,0,1,1,8,256.0,2
50,100,0,1,1,8,256.0,2
51,100,0,1,1,8,256.0,2
52,100,0,1,1,8,256.0,2
53,100,0,1,1,8,256.0,2
54,100,0,1,1,8,256.0,2
55,100,0,1,1,8,256.0,2
56,100,0,1,1,8,256.0,2
57,100,0,1,1,8,256.0,2
58,100,0,1,1,8,256.0,2
59,100,0,1,1,8,256.0,2
60,100,0,1,1,8,256.0,2
61,100,0,1,1,8,256.0,2
62,100,0,1,1,8,256.0,2
63,100,0,1,1,8,256.0,2
64,100,0,1,1,8,256.0,2
65,100,0,1,1,8,256.0,2
66,100,0,1,1,8,256.0,2
67,100,0,1,1,8,256.0,2
68,100,0,1,1,8,256.0,2
69,100,0,1,1,8,256.0,2
70,100,0,1,1,8,256.0,2
71,100,0,1,1,8,256.0,2
72,100,0,1,1,8,256.0,2
73,100,0,1,1,8,256.0,2
74,100,0,1,1,8,256.0,2
75,100,0,1,1,8,256.0,2
76,100,0,1,1,8,256.0,2
77,100,0,1,1,8,256.0,2
78,100,0,1,1,8,256.0,2
79,100,0,1,1,8,256.0,2
80,100,0,1,1,8,256.0,2
81,100,0,1,1,8,256.0,2
82,100,0,1,1,8,256.0,2
83,100,0,1,1,8,256.0,2
84,100,0,1,1,8,256.0,2
85,100,0,1,1,8,256.0,2
86,100,0,1,1,8,256.0,2
87,100,0,1,1,8,256.0,2
88,100,0,1,1,8,256.0,2
89,100,0,1,1,8,256.0,2
90,100,0,1,1,8,256.0,2
91,100,0,1,1,8,256.0,2
92,100,0,1,1,8,256.0,2
93,100,0,1,1,8,256.0,2
94,100,0,1,1,8,256.0,2
95,100,0,1,1,8,256.0,2
96,100,0,1,1,8,256.0,2
97,100,0,1,1,8,256.0,2
98,100,0,1,1,8,256.0,2
99,100,0,1,1,8,256.0,2
100,100,0,1,1,8,256.0,2
