time,FINAL TIME,INITIAL TIME,SAVEPER,TIME STEP,A,B,Result,Z
0,100,0,1,1,10,0,99,99
1,100,0,1,1,10,0,99,99
2,100,0,1,1,10,0,99,99
3,100,0,1,1,10,0,99,99
4,100,0,1,1,10,0,99,99
5,100,0,1,1,10,0,99,99
6,100,0,1,1,10,0,99,99
7,100,0,1,1,10,0,99,99
8,100,0,1,1,10,0,99,99
9,100,0,1,1,10,0,99,99
10,100,0,1,1,10,0,99,99
11,100,0,1,1,10,0,99,99
12,100,0,1,1,10,0,99,99
13,100,0,1,1,10,0,99,99
14,100,0,1,1,10,0,99,99
15,100,0,1,1,10,0,99,99
16,100,0,1,1,10,0,99,99
17,100,0,1,1,10,0,99,99
18,100,0,1,1,10,0,99,99
19,100,0,1,1,10,0,99,99
20,100,0,1,1,10,0,99,99
21,100,0,1,1,10,0,99,99
22,100,0,1,1,10,0,99,99
23,100,0,1,1,10,0,99,99
24,100,0,1,1,10,0,99,99
25,100,0,1,1,10,0,99,99
26,100,0,1,1,10,0,99,99
27,100,0,1,1,10,0,99,99
28,100,0,1,1,10,0,99,99
29,100,0,1,1,10,0,99,99
30,100,0,1,1,10,0,99,99
31,100,0,1,1,10,0,99,99
32,100,0,1,1,10,0,99,99
33,100,0,1,1,10,0,99,99
34,100,0,1,1,10,0,99,99
35,100,0,1,1,10,0,99,99
36,100,0,1,1,10,0,99,99
37,100,0,1,1,10,0,99,99
38,100,0,1,1,10,0,99,99
39,100,0,1,1,10,0,99,99
40,100,0,1,1,10,0,99,99
41,100,0,1,1,10,0,99,99
42,100,0,1,1,10,0,99,99
43,100,0,1,1,10,0,99,99
44,100,0,1,1,10,0,99,99
45,100,0,1,1,10,0,99,99
46,100,0,1,1,10,0,99,99
47,100,0,1,1,10,0,99,99
48,100,0,1,1,10,0,99,99
49,100,0,1,1,10,0,99,99
50,100,0,1,1,10,0,99,99
51,100,0,1,1,10,0,99,99
52,100,0,1,1,10,0,99,99
53,100,0,1,1,10,0,99,99
54,100,0,1,1,10,0,99,99
55,100,0,1,1,10,0,99,99
56,100,0,1,1,10,0,99,99
57,100,0,1,1,10,0,99,99
58,100,0,1,1,10,0,99,99
59,100,0,1,1,10,0,99,99
60,100,0,1,1,10,0,99,99
61,100,0,1,1,10,0,99,99
62,100,0,1,1,10,0,99,99
63,100,0,1,1,10,0,99,99
64,100,0,1,1,10,0,99,99
65,100,0,1,1,10,0,99,99
66,100,0,1,1,10,0,99,99
67,100,0,1,1,10,0,99,99
68,100,0,1,1,10,0,99,99
69,100,0,1,1,10,0,99,99
70,100,0,1,1,10,0,99,99
71,100,0,1,1,10,0,99,99
72,100,0,1,1,10,0,99,99
73,100,0,1,1,10,0,99,99
74,100,0,1,1,10,0,99,99
75,100,0,1,1,10,0,99,99
76,100,0,1,1,10,0,99,99
77,100,0,1,1,10,0,99,99
78,100,0,1,1,10,0,99,99
79,100,0,1,1,10,0,99,99
80,100,0,1,1,10,0,99,99
81,100,0,1,1,10,0,99,99
82,100,0,1,1,10,0,99,99
83,100,0,1,1,10,0,99,99
84,100,0,1,1,10,0,99,99
85,100,0,1,1,10,0,99,99
86,100,0,1,1,10,0,99,99
87,100,0,1,1,10,0,99,99
88,100,0,1,1,10,0,99,99
89,100,0,1,1,10,0,99,99
90,100,0,1,1,10,0,99,99
91,100,0,1,1,10,0,99,99
92,100,0,1,1,10,0,99,99
93,100,0,1,1,10,0,99,99
94,100,0,1,1,10,0,99,99
95,100,0,1,1,10,0,99,99
96,100,0,1,1,10,0,99,99
97,100,0,1,1,10,0,99,99
98,100,0,1,1,10,0,99,99
99,100,0,1,1,10,0,99,99
100,100,0,1,1,10,0,99,99
